ID,Departure City,Arrival City,Departure Coordinates,Arrival Coordinates,Train CO2,Train Energy Resource Consumption,Train Products,Train Duration,Car CO2,Car Energy Resource Consumption,Car Products,Car Duration,Flight CO2,Flight Energy Resource Consumption,Flight Products,Flight Duration
Berlin to Lisbon,Berlin,Lisbon,"[52.520555, 13.386943]","[38.767779, -9.098054]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Berlin to Amsterdam,Berlin,Amsterdam,"[52.520555, 13.386943]","[52.378607, 4.900559]",27.7,13.0,IC   240,05:54,75.6,33.6,Car,06:36,124.9,52.6,"Car, Aircraft, Car",03:11
Berlin to Warszawa,Berlin,Warszawa,"[52.520555, 13.386943]","[52.228855, 21.003215]",52.6,17.9,"EC    45, Walk",05:11,67.3,29.9,Car,05:53,113.6,47.8,"Car, Aircraft, Car",03:06
Berlin to Riga,Berlin,Riga,"[52.520555, 13.386943]","[56.946943, 24.120279]",138.2,62.5,"RE  5185, BUS 5185, IC 81170, IC   144, 200",35:06,110.2,49.0,Car,09:38,140.4,59.2,"Train, Aircraft, Train",03:03
Berlin to Napoli,Berlin,Napoli,"[52.520555, 13.386943]","[40.839163, 14.25139]",65.9,37.2,"ICE  501, ECB   83, FR  9643",15:11,162.6,72.3,Car,12:50,123.2,51.9,"Car, Aircraft, Car",04:02
Berlin to Oslo,Berlin,Oslo,"[52.520555, 13.386943]","[59.910282, 10.755279]",35.7,31.0,"ICE  806, EC   396, RE  1094, HST  492, IC   398",15:23,109.7,48.7,Car,09:35,143.5,60.8,"Train, Aircraft, Train",03:40
Berlin to Bratislava,Berlin,Bratislava,"[52.520555, 13.386943]","[48.158333, 17.105834]",37.7,20.6,"EC   171, EC   279",08:39,71.8,31.9,Car,06:16,119.3,50.3,"Car, Aircraft, Car",03:58
Berlin to Luxembourg,Berlin,Luxembourg,"[52.520555, 13.386943]","[49.599996, 6.134167]",30.6,14.9,"ICE  833, RE 29514, FB 82127",08:33,78.9,35.1,Car,06:54,125.1,52.6,"Train, Aircraft, Train",02:55
Berlin to Kishinev,Berlin,Kishinev,"[52.520555, 13.386943]","[47.017476, 28.858169]",124.8,77.7,"EC   379, EC   281, Transfer, NT   347, Transfer, 402",44:21,157.7,70.1,Car,12:26,273.6,115.5,"Car, Aircraft, Car",09:35
Berlin to Frankfurt,Berlin,Frankfurt,"[52.520555, 13.386943]","[50.107221, 8.663893]",14.7,7.0,"ICE 1701, ICE  593",04:04,59.9,26.6,Car,05:55,106.3,44.7,"Car, Aircraft, Car",02:51
Berlin to Geneva,Berlin,Geneva,"[52.520555, 13.386943]","[46.210281, 6.1425]",24.8,15.3,"ICE 1701, ICE  593, ICE  103, IC  1622, IC   522",10:07,114.5,50.9,Car,10:00,147.0,61.8,"Car, Aircraft, Car",03:19
Berlin to Krakow,Berlin,Krakow,"[52.520555, 13.386943]","[50.068334, 19.947504]",57.4,20.4,"RE  3700, RE  3140, RB  5841, Os 76310, Os 69160, IC 62100, R  43310",10:01,69.0,30.7,Car,06:01,146.9,62.6,"Car, Aircraft, Car",06:21
Berlin to Leeds,Berlin,Leeds,"[52.520555, 13.386943]","[53.792223, -1.547502]",47.7,32.0,"ICE  646, ICE  656, ICE  316, ES  9135, Transfer, ---",13:52,125.9,56.0,Car,09:56,182.5,77.1,"Car, Aircraft, Car",05:04
Berlin to Liverpool,Berlin,Liverpool,"[52.520555, 13.386943]","[53.404447, -2.976391]",48.1,32.1,"ICE  646, ICE  656, ICE  316, ES  9135, Transfer, ---",14:40,137.7,61.2,Car,10:52,107.2,45.1,"Car, Aircraft, Car",03:50
Berlin to Manchester,Berlin,Manchester,"[52.520555, 13.386943]","[53.358611, -2.267502]",47.1,31.6,"ICE  646, ICE  656, ICE  316, ES  9135, Transfer, ---, ---",14:28,131.8,58.6,Car,10:24,180.4,76.1,"Car, Aircraft, Car",05:28
Berlin to Marseille,Berlin,Marseille,"[52.520555, 13.386943]","[43.302774, 5.380278]",27.0,33.4,"ICE  833, ICE   71, ICE 9574, TGV 9879, TGV 9830",12:43,148.2,65.8,Car,11:41,279.4,117.9,"Car, Aircraft, Car",08:20
Berlin to Nice,Berlin,Nice,"[52.520555, 13.386943]","[43.704448, 7.261945]",34.7,42.9,"ICE  277, RE 87430, TGV 2239",16:35,135.0,60.0,Car,10:39,104.3,43.9,"Car, Aircraft, Car",03:47
Berlin to Nottingham,Berlin,Nottingham,"[52.520555, 13.386943]","[52.945278, -1.144165]",41.9,28.8,"ICE  646, ICE  656, ICE  316, ES  9135, Transfer, ---",13:26,128.2,57.0,Car,11:12,170.0,71.6,"Car, Aircraft, Car",03:58
Berlin to Palermo,Berlin,Palermo,"[52.520555, 13.386943]","[38.109166, 13.36722]",97.9,56.3,"ICE  503, ECB   85, FR  8527, FR  9653, INI 1955",26:49,200.2,89.0,Car,15:47,153.4,64.6,"Car, Aircraft, Car",04:36
Berlin to Kosice,Berlin,Kosice,"[52.520555, 13.386943]","[48.721669, 21.267498]",45.0,28.7,"EC   171, SC   505, EC   127, 15621, IC    45",13:04,90.7,40.3,Car,07:55,246.3,104.0,"Car, Aircraft, Car",08:43
Berlin to Rotterdam,Berlin,Rotterdam,"[52.520555, 13.386943]","[51.925002, 4.469446]",29.0,13.6,"IC   240, IC   634",06:19,80.2,35.6,Car,07:00,130.3,55.0,"Car, Aircraft, Car",03:59
Berlin to Seville,Berlin,Seville,"[52.520555, 13.386943]","[37.391944, -5.975274]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Berlin to Sheffield,Berlin,Sheffield,"[52.520555, 13.386943]","[53.375834, -1.461943]",44.8,30.4,"ICE  646, ICE  656, ICE  316, ES  9135, Transfer, ---",13:36,125.1,55.6,Car,09:52,176.7,74.5,"Car, Aircraft, Car",04:55
Berlin to Valencia,Berlin,Valencia,"[52.520555, 13.386943]","[39.465, -0.377502]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Berlin to Venice,Berlin,Venice,"[52.520555, 13.386943]","[45.437775, 12.317775]",41.6,22.7,"ICE  501, ECB   83, FR  9733",11:53,102.9,45.7,Car,08:59,143.0,60.2,"Car, Aircraft, Car",03:22
Berlin to Verona,Berlin,Verona,"[52.520555, 13.386943]","[45.428336, 10.98222]",36.2,19.5,"ICE  501, ECB   83",10:21,105.5,46.9,Car,09:13,146.6,61.7,"Train, Aircraft, Train",03:14
Berlin to Vilnius,Berlin,Vilnius,"[52.520555, 13.386943]","[54.669723, 25.284723]",113.3,44.3,"RE  5185, BUS 5185, IC 81170, IC   144",17:57,106.8,47.4,Car,09:19,150.7,63.4,"Car, Aircraft, Car",03:05
Berlin to Wrocław,Berlin,Wrocław,"[52.520555, 13.386943]","[51.098057, 17.036392]",29.4,10.2,"EC    41, IC  8304",05:10,41.2,18.3,Car,04:04,139.1,59.2,"Car, Aircraft, Car",05:36
Berlin to Zaragoza,Berlin,Zaragoza,"[52.520555, 13.386943]","[41.643886, -0.89111]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Berlin to Gothenburg,Berlin,Gothenburg,"[52.520555, 13.386943]","[57.708886, 11.973335]",35.3,24.9,"ICE  808, EC   398, RE  1082",11:42,76.5,34.0,Car,06:41,123.9,52.3,"Train, Aircraft, Train",03:06
Berlin to Antwerp,Berlin,Antwerp,"[52.520555, 13.386943]","[51.21694, 4.420832]",31.2,15.6,"IC   240, IC  3639, IC  9232",07:10,83.0,36.9,Car,07:15,123.0,51.8,"Car, Aircraft, Car",03:34
Berlin to Bilbao,Berlin,Bilbao,"[52.520555, 13.386943]","[43.26056, -2.928056]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Berlin to Bologna,Berlin,Bologna,"[52.520555, 13.386943]","[44.506393, 11.341942]",41.5,22.7,"ICE  501, ECB   83",11:42,118.0,52.5,Car,10:19,151.9,64.8,"Train, Aircraft, Train",04:24
Berlin to Bordeaux,Berlin,Bordeaux,"[52.520555, 13.386943]","[44.825834, -0.556387]",30.5,39.5,"ICE  954, EUR 9450, Transfer, TGV12267",11:29,166.6,74.0,Car,13:08,284.2,119.9,"Car, Aircraft, Car",08:27
Berlin to Bristol,Berlin,Bristol,"[52.520555, 13.386943]","[51.446668, -2.580003]",40.8,28.2,"ICE  646, ICE  656, ICE  316, ES  9135, Transfer, ---, ---",14:03,137.6,61.2,Car,10:51,108.8,45.8,"Car, Aircraft, Car",03:46
Berlin to Cardiff,Berlin,Cardiff,"[52.520555, 13.386943]","[51.472782, -3.176392]",43.3,29.6,"ICE  646, ICE  656, ICE  316, ES  9135, Transfer, ---",14:13,142.6,63.4,Car,11:15,112.2,47.3,"Car, Aircraft, Car",04:16
Berlin to Cologne,Berlin,Cologne,"[52.520555, 13.386943]","[50.941393, 6.967224]",17.2,8.3,ICE  654,04:19,67.3,29.9,Car,06:39,114.2,48.1,"Car, Aircraft, Car",02:52
Berlin to Dortmund,Berlin,Dortmund,"[52.520555, 13.386943]","[51.517782, 7.459168]",16.4,7.9,ICE  946,03:42,59.5,26.4,Car,05:53,101.2,42.6,"Car, Aircraft, Car",02:44
Berlin to Duesseldorf,Berlin,Duesseldorf,"[52.520555, 13.386943]","[51.219996, 6.794443]",18.6,8.9,ICE  644,04:22,67.1,29.8,Car,06:38,114.6,48.2,"Car, Aircraft, Car",02:45
Berlin to Basel,Berlin,Basel,"[52.520555, 13.386943]","[47.547498, 7.58944]",24.5,11.8,"ICE  833, ICE   71, Walk, Tra 1136",06:58,90.4,40.1,Car,07:54,128.0,53.8,"Car, Aircraft, Car",03:08
Berlin to Lausanne,Berlin,Lausanne,"[52.520555, 13.386943]","[46.516669, 6.629167]",24.8,14.9,"ICE 1701, ICE  593, ICE  103, IC   971, 2522",09:36,108.1,48.0,Car,09:27,146.4,62.0,"Car, Aircraft, Car",04:54
Berlin to Malaga,Berlin,Malaga,"[52.520555, 13.386943]","[36.711946, -4.431943]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Berlin to Maribor,Berlin,Maribor,"[52.520555, 13.386943]","[46.561948, 15.657501]",27.0,16.1,"ICE  505, ICE   91, 601, 4131, RE  4455",12:15,88.9,39.5,Car,07:46,139.5,58.8,"Car, Aircraft, Car",04:12
Berlin to Pisa,Berlin,Pisa,"[52.520555, 13.386943]","[43.708052, 10.398056]",49.3,27.3,"ICE  501, ECB   83, FR  9323, RV  4047",14:51,125.5,55.8,Car,09:54,166.7,70.1,"Car, Aircraft, Car",03:31
Berlin to Edinburgh,Berlin,Edinburgh,"[52.520555, 13.386943]","[55.949724, -3.186667]",66.4,42.2,"ICE  654, ICE   16, ES  9141, Transfer, ---",15:28,142.8,63.5,Car,11:16,128.8,54.4,"Car, Aircraft, Car",05:31
Berlin to Cluj-Napoca,Berlin,Cluj-Napoca,"[52.520555, 13.386943]","[46.784997, 23.587218]",76.7,50.0,"EC   379, EC   281, Transfer, NT   347",22:21,126.5,56.2,Car,11:03,234.9,99.2,"Car, Aircraft, Car",09:19
Berlin to Split,Berlin,Split,"[52.520555, 13.386943]","[43.504725, 16.443059]",45.4,27.4,"ICE 1605, RB 27075, EN 40237, IC   523",27:17,128.2,57.0,Car,10:07,169.9,71.5,"Car, Aircraft, Car",03:44
Berlin to Eindhoven,Berlin,Eindhoven,"[52.520555, 13.386943]","[51.442218, 5.480004]",23.8,11.3,"ICE  946, RE 10118, RE 20070, IC  3740",06:13,72.8,32.4,Car,06:22,127.3,53.9,"Car, Aircraft, Car",04:36
Stockholm to Vienna,Stockholm,Vienna,"[59.33001, 18.05763]","[48.206947, 16.34167]",72.7,51.0,"HST  519, RE  1051, EC   395, ICE  871, NJ   457, IC 60407",23:28,155.5,69.0,Car,12:15,128.7,54.2,"Car, Aircraft, Car",04:51
Stockholm to Torino,Stockholm,Torino,"[59.33001, 18.05763]","[45.060282, 7.677498]",60.4,49.3,"HST  519, RE  1051, EC   395, ICE  273, IC   659, RE 25513, Walk, FR  9716",30:22,216.6,96.2,Car,17:04,224.0,95.1,"Train, Aircraft, Train",07:41
Stockholm to Porto,Stockholm,Porto,"[59.33001, 18.05763]","[41.149722, -8.585552]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stockholm to Brussels,Stockholm,Brussels,"[59.33001, 18.05763]","[50.896393, 4.481941]",47.4,38.8,"HST  519, RE  1051, EC   395, ICE  205, IC   140, IC  3679, IC  9272",18:29,158.8,70.6,Car,12:31,119.2,50.1,"Car, Aircraft",03:46
Stockholm to Sofia,Stockholm,Sofia,"[59.33001, 18.05763]","[42.71194, 23.320832]",129.9,91.3,"HST  527, EC   399, ICE 1081, RJX   61, 79, 1091, RE  7623",54:57,235.5,104.6,Car,18:34,242.8,102.9,"Train, Aircraft, Train",07:32
Stockholm to Brno,Stockholm,Brno,"[59.33001, 18.05763]","[49.189171, 16.609719]",67.6,47.9,"HST  521, EC   397, ICE 1607, IC  2275, 31775, RB  5271, RE  6621, RE  6001, 1559, RE  5805, SC   241, IC  1031",26:30,141.5,62.9,Car,11:09,205.7,87.3,"Train, Aircraft, Train",06:39
Stockholm to Zagreb,Stockholm,Zagreb,"[59.33001, 18.05763]","[45.804445, 15.978892]",69.1,51.1,"HST  519, RE  1051, EC   395, ICE  683, RB 27075, EN 40237",29:18,188.9,84.0,Car,14:54,144.3,61.6,"Train, Aircraft, Train",04:26
Stockholm to Praha,Stockholm,Praha,"[59.33001, 18.05763]","[50.084712, 14.434923]",48.5,38.0,"HST  519, RE  1051, EC   395, ICE  871, NJ   457",18:57,131.8,58.6,Car,10:24,109.8,46.3,"Car, Aircraft, Car",04:19
Stockholm to Copenhagen,Stockholm,Copenhagen,"[59.33001, 18.05763]","[55.673054, 12.565553]",2.8,15.4,"HST  519, RE  1051",05:39,68.3,30.3,Car,05:58,108.9,47.7,"Train, Aircraft, Train",03:25
Stockholm to Toulouse,Stockholm,Toulouse,"[59.33001, 18.05763]","[43.611113, 1.45361]",57.2,63.7,"HST  519, RE  1051, EC   395, ICE  683, ICE  377, 2349, IC   844, 2504, TER96554, TGV 6823",33:03,260.1,115.6,Car,20:30,258.2,108.7,"Train, Aircraft, Train",07:34
Stockholm to Munich,Stockholm,Munich,"[59.33001, 18.05763]","[48.136948, 11.575275]",52.0,39.5,"HST  519, RE  1051, EC   395, ICE  683",17:19,164.3,73.0,Car,12:58,133.0,56.1,"Car, Aircraft, Car",04:57
Stockholm to Helsinki,Stockholm,Helsinki,"[59.33001, 18.05763]","[60.172218, 24.941111]",186.0,90.2,"ShiVikLi, 77948, IC   948",13:23,55.8,24.8,Car,05:31,97.1,42.0,"Train, Aircraft, Train",03:01
Stockholm to Osijek,Stockholm,Osijek,"[59.33001, 18.05763]","[45.552774, 18.683333]",92.2,70.6,"HST  519, RE  1051, EC   395, ICE  871, EN 40457, Transfer, IC   812, RE  8124, RE  6211",33:35,191.7,85.2,Car,15:07,136.8,63.1,"Train, Aircraft, Train",06:35
Stockholm to Paris,Stockholm,Paris,"[59.33001, 18.05763]","[48.858395, 2.294254]",46.8,45.8,"RE  3941, 305, ICE  921, EUR 9414",24:39,192.7,85.7,Car,15:12,244.0,102.5,"Car, Aircraft, Car",07:13
Stockholm to Nantes,Stockholm,Nantes,"[59.33001, 18.05763]","[47.217504, -1.541947]",62.0,69.6,"HST  519, RE  1051, EC   395, ICE  683, ICE  377, 2347, RE  4544, Walk, Bus31000, Walk, RE 18160, Walk, TGV 6700, Transfer, TGV 8913",30:33,232.7,103.4,Car,18:21,241.3,102.4,"Train, Aircraft, Train",07:38
Stockholm to Lyon,Stockholm,Lyon,"[59.33001, 18.05763]","[45.702291, 4.863775]",53.6,48.3,"HST  519, RE  1051, EC   395, ICE  683, ICE  377, 2349, IC   844, 2504, TER96554",28:01,218.6,97.2,Car,17:14,269.0,113.6,"Train, Aircraft, Train",06:51
Stockholm to Berlin,Stockholm,Berlin,"[59.33001, 18.05763]","[52.520555, 13.386943]",33.7,30.7,"HST  527, EC   399, ICE  609",13:01,105.9,47.1,Car,09:15,140.5,60.0,"Train, Aircraft, Train",03:33
Stockholm to Budapest,Stockholm,Budapest,"[59.33001, 18.05763]","[47.499999, 18.949998]",79.3,59.2,"HST  519, RE  1051, EC   395, ICE  871, EN 40457, RE  2337",27:00,164.7,73.2,Car,12:59,127.6,54.8,"Train, Aircraft, Train",04:15
Stockholm to Bucuresti,Stockholm,Bucuresti,"[59.33001, 18.05763]","[44.43528, 26.102778]",131.5,92.7,"HST  519, RE  1051, EC   395, ICE  871, EN 40457, Transfer, IC   375, 1822",47:04,217.8,96.8,Car,17:10,295.9,125.2,"Train, Aircraft, Train",07:31
Stockholm to Rome,Stockholm,Rome,"[59.33001, 18.05763]","[41.900555, 12.501388]",88.9,64.4,"HST  521, EC   397, ICE  887, IC 60403, EC    51, FR  9623",31:54,247.6,110.0,Car,19:31,191.4,80.7,"Car, Aircraft, Car",06:24
Stockholm to Madrid City,Stockholm,Madrid City,"[59.33001, 18.05763]","[40.406386, -3.690836]",75.2,83.1,"HST  545, EN   345, ICE  573, TGV 9580, AVI 9730",45:24,323.5,143.8,Car,25:30,241.1,101.5,"Train, Aircraft, Train",08:19
Stockholm to Istanbul,Stockholm,Istanbul,"[59.33001, 18.05763]","[41.014722, 28.976665]",165.5,109.0,"HST  527, EC   399, ICE 1081, RJX   61, 79, 1095, 463, 465, 493",68:12,271.8,120.8,Car,21:26,203.8,86.5,"Train, Aircraft, Train",05:22
Stockholm to London,Stockholm,London,"[59.33001, 18.05763]","[51.530888, -0.122918]",61.1,54.4,"HST  519, RE  1051, EC   395, ICE  205, RE 26832, RE  5043, IC   527, ES  9113",28:36,179.0,79.5,Car,14:07,257.9,108.7,"Train, Aircraft, Train",07:02
Stockholm to Graz,Stockholm,Graz,"[59.33001, 18.05763]","[47.07222, 15.416392]",67.1,49.5,"HST  521, EC   397, NJ   491, IC   503",28:47,171.9,76.3,Car,13:33,207.8,87.4,"Car, Aircraft, Car",07:21
Stockholm to Hamburg,Stockholm,Hamburg,"[59.33001, 18.05763]","[53.557218, 9.997497]",26.0,27.0,"HST  527, EC   399",10:59,105.8,47.0,Car,09:15,249.9,105.1,"Train, Aircraft, Train",05:46
Stockholm to Barcelona,Stockholm,Barcelona,"[59.33001, 18.05763]","[41.38444, 2.185278]",57.4,68.6,"HST  545, EN   345, ICE  573, TGV 9580, AVI 9730",42:17,285.2,126.7,Car,22:29,284.4,119.6,"Train, Aircraft, Train",07:24
Stockholm to Milan,Stockholm,Milan,"[59.33001, 18.05763]","[45.486388, 9.204163]",54.3,45.7,"HST  519, RE  1051, EC   395, ICE  273, IC   659, RE 25513",28:56,206.3,91.7,Car,16:16,156.1,66.5,"Train, Aircraft, Train",04:38
Stockholm to Ljubljana,Stockholm,Ljubljana,"[59.33001, 18.05763]","[46.058057, 14.51028]",64.5,47.8,"HST  519, RE  1051, EC   395, ICE  683, RB 27075, EN 40237",26:48,186.9,83.1,Car,14:44,141.0,60.3,"Train, Aircraft, Train",05:04
Stockholm to Zurich,Stockholm,Zurich,"[59.33001, 18.05763]","[47.37806, 8.540274]",52.4,41.0,"HST  519, RE  1051, EC   395, ICE  683, ICE  377, 1995",20:03,183.6,81.6,Car,14:29,248.5,104.4,"Car, Aircraft, Car",06:30
Stockholm to Bern,Stockholm,Bern,"[59.33001, 18.05763]","[46.948888, 7.439167]",52.4,41.2,"HST  519, RE  1051, EC   395, ICE  683, ICE  377, 2347, IC   842",19:41,193.1,85.8,Car,15:13,153.6,65.1,"Car, Aircraft, Car",07:06
Stockholm to Lisbon,Stockholm,Lisbon,"[59.33001, 18.05763]","[38.767779, -9.098054]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stockholm to Amsterdam,Stockholm,Amsterdam,"[59.33001, 18.05763]","[52.378607, 4.900559]",42.9,34.9,"HST  519, RE  1051, EC   395, ICE  205, IC   140",16:39,140.6,62.5,Car,11:05,278.5,117.0,"Car, Aircraft, Car",06:08
Stockholm to Napoli,Stockholm,Napoli,"[59.33001, 18.05763]","[40.839163, 14.25139]",97.7,69.6,"HST  521, EC   397, ICE  887, IC 60403, EC    51, FR  9623",33:04,259.6,115.4,Car,20:28,269.2,114.0,"Train, Aircraft, Train",08:09
Stockholm to Oslo,Stockholm,Oslo,"[59.33001, 18.05763]","[59.910282, 10.755279]",1.3,12.6,HST  621,05:08,58.5,26.0,Car,05:46,139.6,60.0,"Train, Aircraft, Train",03:21
Stockholm to Bratislava,Stockholm,Bratislava,"[59.33001, 18.05763]","[48.158333, 17.105834]",73.0,52.0,"HST  519, RE  1051, EC   395, ICE  871, EN 40457",24:41,155.6,69.1,Car,12:16,110.6,48.9,"Train, Aircraft, Train",04:44
Stockholm to Luxembourg,Stockholm,Luxembourg,"[59.33001, 18.05763]","[49.599996, 6.134167]",50.9,39.3,"HST  521, EC   397, ICE  207, Walk, 2641, RB 10455, 9641, RB 10463, RE  5142",25:07,165.6,73.6,Car,13:03,125.4,53.6,"Train, Aircraft, Train",04:23
Stockholm to Frankfurt,Stockholm,Frankfurt,"[59.33001, 18.05763]","[50.107221, 8.663893]",42.4,34.8,"HST  519, RE  1051, EC   395, ICE  683, ICE  377",15:28,148.5,66.0,Car,11:43,285.8,120.1,"Car, Aircraft, Car",06:15
Stockholm to Geneva,Stockholm,Geneva,"[59.33001, 18.05763]","[46.210281, 6.1425]",52.6,44.6,"HST  519, RE  1051, EC   395, ICE  683, ICE  377, 2347, RE  4544, IC   504",25:26,207.5,92.2,Car,16:21,162.0,68.2,"Car, Aircraft, Car",04:50
Stockholm to Krakow,Stockholm,Krakow,"[59.33001, 18.05763]","[50.068334, 19.947504]",92.8,52.3,"HST  527, EC   399, ICE  609, Walk, RE  3136, RE 68841, Os  5301, Os 69508, IC  6302",26:36,129.7,57.6,Car,10:13,102.0,43.6,"Train, Aircraft, Train",03:58
Stockholm to Leeds,Stockholm,Leeds,"[59.33001, 18.05763]","[53.792223, -1.547502]",77.8,63.5,"HST  519, RE  1051, EC   395, ICE  205, RE 26832, RE  5043, IC   527, ES  9113, Transfer, ---",31:55,168.0,74.7,Car,13:15,318.6,134.1,"Car, Aircraft, Car",07:48
Stockholm to Liverpool,Stockholm,Liverpool,"[59.33001, 18.05763]","[53.404447, -2.976391]",78.1,63.7,"HST  519, RE  1051, EC   395, ICE  205, RE 26832, RE  5043, IC   527, ES  9113, Transfer, ---",32:43,180.7,80.3,Car,14:15,315.2,132.5,"Car, Aircraft, Car",07:19
Stockholm to Manchester,Stockholm,Manchester,"[59.33001, 18.05763]","[53.358611, -2.267502]",77.1,63.2,"HST  519, RE  1051, EC   395, ICE  205, RE 26832, RE  5043, IC   527, ES  9113, Transfer, ---, ---",32:31,176.3,78.4,Car,13:54,308.1,129.4,"Car, Aircraft",06:17
Stockholm to Marseille,Stockholm,Marseille,"[59.33001, 18.05763]","[43.302774, 5.380278]",60.0,76.0,"HST  519, RE  1051, EC   395, ICE  205, RE 26832, RE  5043, IC   527, TGV 9810",31:03,247.7,110.1,Car,19:32,174.1,75.9,"Train, Aircraft, Train",06:05
Stockholm to Nice,Stockholm,Nice,"[59.33001, 18.05763]","[43.704448, 7.261945]",69.8,88.6,"RE  3941, 305, NJ   471, TGV 9578, Transfer, TGV 6165",31:30,235.9,104.8,Car,18:36,250.8,105.3,"Car, Aircraft, Car",07:11
Stockholm to Nottingham,Stockholm,Nottingham,"[59.33001, 18.05763]","[52.945278, -1.144165]",72.0,60.3,"HST  519, RE  1051, EC   395, ICE  205, RE 26832, RE  5043, IC   527, ES  9113, Transfer, ---",31:29,172.4,76.6,Car,13:35,248.6,104.6,"Car, Aircraft, Car",07:54
Stockholm to Palermo,Stockholm,Palermo,"[59.33001, 18.05763]","[38.109166, 13.36722]",140.8,92.1,"HST  519, RE  1051, EC   395, ICE  683, RB 27075, NJ   237, FR  9409, FR  9583, Shi  V12, Walk, IC   729",41:29,298.1,132.5,Car,23:30,236.4,99.5,"Car, Aircraft, Car",10:28
Stockholm to Kosice,Stockholm,Kosice,"[59.33001, 18.05763]","[48.721669, 21.267498]",86.1,63.2,"RE  3941, 305, ICE  805, EC   171, EC   143, 611",35:20,149.8,66.6,Car,11:49,277.2,115.7,"Train, Aircraft, Train",08:27
Stockholm to Rotterdam,Stockholm,Rotterdam,"[59.33001, 18.05763]","[51.925002, 4.469446]",44.2,35.5,"HST  519, RE  1051, EC   395, ICE  205, IC   140, IC   674",17:04,147.8,65.7,Car,11:39,283.9,119.4,"Car, Aircraft, Car",06:55
Stockholm to Seville,Stockholm,Seville,"[59.33001, 18.05763]","[37.391944, -5.975274]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stockholm to Sheffield,Stockholm,Sheffield,"[59.33001, 18.05763]","[53.375834, -1.461943]",74.8,61.9,"HST  519, RE  1051, EC   395, ICE  205, RE 26832, RE  5043, IC   527, ES  9113, Transfer, ---",31:37,170.8,75.9,Car,13:28,316.4,133.1,"Car, Aircraft, Car",07:29
Stockholm to Valencia,Stockholm,Valencia,"[59.33001, 18.05763]","[39.465, -0.377502]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stockholm to Venice,Stockholm,Venice,"[59.33001, 18.05763]","[45.437775, 12.317775]",75.6,53.6,"HST  519, RE  1051, EC   395, ICE  683, Walk, RE 79049, NJ 40466",27:01,198.7,88.3,Car,15:40,215.2,91.3,"Train, Aircraft, Train",07:49
Stockholm to Verona,Stockholm,Verona,"[59.33001, 18.05763]","[45.428336, 10.98222]",76.0,54.0,"HST  519, RE  1051, EC   395, ICE  683, Walk, RE 79049, NJ   466, 5240, RV  3463",27:56,202.2,89.9,Car,15:56,243.8,103.4,"Train, Aircraft, Train",07:17
Stockholm to Wrocław,Stockholm,Wrocław,"[59.33001, 18.05763]","[51.098057, 17.036392]",65.3,43.2,"HST  527, EC   399, ICE  609, Walk, RE  3136, RE 68841, Os  5301, Os 69508",23:12,120.0,53.3,Car,10:28,238.2,100.8,"Train, Aircraft, Train",06:52
Stockholm to Zaragoza,Stockholm,Zaragoza,"[59.33001, 18.05763]","[41.643886, -0.89111]",65.6,75.3,"HST  545, EN   345, ICE  573, TGV 9580, AVI 9730",44:01,295.3,131.2,Car,23:17,226.0,95.9,"Train, Aircraft, Train",08:17
Stockholm to Gothenburg,Stockholm,Gothenburg,"[59.33001, 18.05763]","[57.708886, 11.973335]",1.2,10.9,HST  419,03:01,55.8,24.8,Car,05:31,137.3,58.3,"Train, Aircraft, Train",02:31
Stockholm to Antwerp,Stockholm,Antwerp,"[59.33001, 18.05763]","[51.21694, 4.420832]",46.5,37.4,"HST  519, RE  1051, EC   395, ICE  205, IC   140, IC  3679, IC  9272",17:55,155.7,69.1,Car,12:16,124.6,52.5,"Car, Aircraft, Car",04:33
Stockholm to Bilbao,Stockholm,Bilbao,"[59.33001, 18.05763]","[43.26056, -2.928056]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stockholm to Bologna,Stockholm,Bologna,"[59.33001, 18.05763]","[44.506393, 11.341942]",73.3,55.1,"HST  521, EC   397, ICE  887, IC 60403, EC    51, FR  9623",29:48,213.8,95.0,Car,16:51,225.8,95.8,"Train, Aircraft, Train",07:25
